image_name,Side_coinWidth,Side_coinHeigth,Top_coinWidth,Top_coinHeigth,Side_foodWidth,Side_foodHeigth,Top_foodWidth,Top_foodHeigth,food_label,Side_coinForeground_pixel,Top_coinForeground_pixel,Side_foodForeground_pixel,Top_foodForeground_pixel,realVolume,realDensity,average_density,energy,real_calorie
3,79,78,66,65,232,187,202,222,3,4411,2915,35942,34572,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,63,58,63,60,192,181,204,217,3,2474,2840,28733,33003,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,61,58,65,64,175,181,204,224,3,2575,2695,26475,36850,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,75,72,71,66,201,206,222,208,3,4004,2900,32219,37463,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,61,63,60,58,186,166,197,189,3,2734,2150,25572,27410,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,71,69,63,62,219,192,207,204,3,57,2698,33092,31057,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,75,75,63,60,209,217,192,205,3,4115,2527,34881,32847,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,62,59,71,66,203,177,204,230,3,2502,3051,29213,37675,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,61,60,64,62,200,178,224,204,3,22,2538,27145,34750,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,60,60,71,70,172,175,233,261,3,2734,3272,23357,45889,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,62,59,65,62,186,177,218,206,3,2532,2576,25075,31296,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,64,60,58,58,198,179,179,189,3,2511,24,29459,26550,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,70,67,70,69,209,205,227,247,3,33,3297,32682,45423,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,59,59,66,63,186,188,217,226,3,2453,2938,28431,38467,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,64,60,70,69,187,188,231,239,3,2456,3032,28144,40938,220,0.9522727272727272,0.9220703982109828,0.63,131.98499999999999
3,61,58,64,61,212,165,226,215,3,46,2749,26253,36069,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,58,68,64,175,162,219,255,3,2798,3101,22359,42816,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,63,60,68,66,198,162,221,252,3,36,3264,25354,43051,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,61,58,72,68,188,168,270,251,3,2697,3484,25574,51575,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,58,58,67,65,181,188,255,232,3,2560,3170,23949,44954,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,59,71,69,178,166,237,265,3,27,3373,21922,48401,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,57,61,60,178,166,217,205,3,2621,6,22955,35050,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,62,58,64,61,199,169,211,211,3,49,0,27091,33891,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,60,61,62,181,163,193,226,3,31,2624,23093,34355,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,58,63,62,198,170,212,243,3,2674,2789,25689,41284,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,60,63,61,209,169,198,225,3,2536,2745,27082,35631,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,61,58,60,60,181,170,193,223,3,2683,2343,23850,33523,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,61,59,65,64,180,171,235,225,3,2726,2875,23153,40111,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,59,63,59,201,165,215,203,3,2620,2398,25935,33954,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,60,58,61,60,180,165,237,218,3,2735,2701,22109,40367,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,62,58,67,63,206,169,230,211,3,2697,2514,26243,38587,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,63,60,63,60,179,164,196,216,3,38,2305,23859,33858,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,61,58,64,62,200,169,204,236,3,2649,2492,26324,37762,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,63,59,67,64,186,172,220,270,3,43,3146,24526,45567,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,61,59,74,70,188,160,243,296,3,2719,3319,25204,52576,270,0.8611111111111112,0.9220703982109828,0.63,146.475
3,62,57,69,67,185,169,239,244,3,2722,3296,23766,45128,270,0.8611111111111112,0.9220703982109828,0.63,146.475
